id_ticker,ticker_recente,id_empresa
689,MDIA3,175
690,MDNE3,269
691,MEAL3,341
692,MEDI3,466
693,MELK3,274
694,MEND3,329
695,MEND5,329
696,MEND6,329
697,MERC3,410
698,MERC4,410
699,MFLU3,405
700,MGEL3,564
701,MGEL4,564
702,MGLU3,480
703,MHANB,73
704,MILS3,378
705,MLAS3,521
706,MLCF3,113
707,MLCF4,113
708,MLPA4,4
709,MMAQ3,328
710,MMAQ4,328
711,MMXM3,95
712,MNDL3,692
713,MNDL4,692
714,MNPR3,706
715,MNPR4,706
716,MNSA3,526
717,MNSA4,526
718,MOAR3,419
719,MODL3,393
720,MODL4,393
721,MOSI3,230
722,MOVI3,360
723,MPLU3,258
724,MRFG3,130
725,MROE4,324
726,MRSAB,26
727,MRSL3,676
728,MRSL4,676
729,MRVE3,206
730,MSAN3,569
731,MSAN4,569
732,MSPA3,546
733,MSPA4,546
734,MSTR5,184
735,MSTR6,184
736,MTIG3,652
737,MTIG4,652
738,MTPS3,315
739,MTPS4,315
740,MTRE3,194
741,MTSA3,686
742,MTSA4,686
743,MULT3,191
744,MWET3,680
745,MWET4,680
746,MYPK3,587
747,MYPK4,587
748,NAFG3,567
749,NAFG4,567
750,NATU3,636
751,NEMO4,543
752,NEOE3,21
753,NEOEB,21
754,NETC3,9
755,NETC4,9
756,NEXP3,214
757,NGRD3,243
758,NINJ3,295
759,NORD3,555
760,NOVA4,403
761,NOVAB,403
762,NTCO3,399
763,NUTR3,487
764,NUTRM,487
765,ODBE3,302
766,ODBE4,302
767,ODER4,747
768,ODPV3,511
769,OFSA3,354
770,OGXP3,197
771,OIBR3,646
772,OIBR4,646
773,OMGE3,233
774,ONCO3,271
775,OPCT3,232
776,OPDCB,94
777,OPREB,64
778,ORIO4,575
779,ORVR3,261
780,OSXB3,231
781,OXIT3,623
782,OXIT4,623
783,PALF3,416
784,PALF5,416
785,PALF7,416
786,PARD3,347
787,PATI3,723
788,PATI4,723
789,PCAR3,477
790,PCAR4,477
791,PCAR5,477
792,PDGR3,109
793,PDTC3,65
794,PEAB3,40
795,PEAB4,40
796,PEFX3,388
797,PEFX5,388
798,PETR3,401
799,PETR4,401
