id_data,data_pregao
518,2002-02-05
519,2002-02-06
520,2002-02-07
521,2002-02-08
522,2002-02-13
523,2002-02-14
524,2002-02-15
525,2002-02-18
526,2002-02-19
527,2002-02-20
528,2002-02-21
529,2002-02-22
530,2002-02-25
531,2002-02-26
532,2002-02-27
533,2002-02-28
534,2002-03-01
535,2002-03-04
536,2002-03-05
537,2002-03-06
538,2002-03-07
539,2002-03-08
540,2002-03-11
541,2002-03-12
542,2002-03-13
543,2002-03-14
544,2002-03-15
545,2002-03-18
546,2002-03-19
547,2002-03-20
548,2002-03-21
549,2002-03-22
550,2002-03-25
551,2002-03-26
552,2002-03-27
553,2002-03-28
554,2002-04-01
555,2002-04-02
556,2002-04-03
557,2002-04-04
558,2002-04-05
559,2002-04-08
560,2002-04-09
561,2002-04-10
562,2002-04-11
563,2002-04-12
564,2002-04-15
565,2002-04-16
566,2002-04-17
567,2002-04-18
568,2002-04-19
569,2002-04-22
570,2002-04-23
571,2002-04-24
572,2002-04-25
573,2002-04-26
574,2002-04-29
575,2002-04-30
576,2002-05-02
577,2002-05-03
578,2002-05-06
579,2002-05-07
580,2002-05-08
581,2002-05-09
582,2002-05-10
583,2002-05-13
584,2002-05-14
585,2002-05-15
586,2002-05-16
587,2002-05-17
588,2002-05-20
589,2002-05-21
590,2002-05-22
591,2002-05-23
592,2002-05-24
593,2002-05-27
594,2002-05-28
595,2002-05-29
596,2002-05-31
597,2002-06-03
598,2002-06-04
599,2002-06-05
600,2002-06-06
601,2002-06-07
602,2002-06-10
603,2002-06-11
604,2002-06-12
605,2002-06-13
606,2002-06-14
607,2002-06-17
608,2002-06-18
609,2002-06-19
610,2002-06-20
611,2002-06-21
612,2002-06-24
613,2002-06-25
614,2002-06-26
615,2002-06-27
616,2002-06-28
617,2002-07-01
618,2002-07-02
619,2002-07-03
620,2002-07-04
621,2002-07-05
622,2002-07-08
623,2002-07-10
624,2002-07-11
625,2002-07-12
626,2002-07-15
627,2002-07-16
628,2002-07-17
629,2002-07-18
630,2002-07-19
631,2002-07-22
632,2002-07-23
633,2002-07-24
634,2002-07-25
635,2002-07-26
636,2002-07-29
637,2002-07-30
638,2002-07-31
639,2002-08-01
640,2002-08-02
641,2002-08-05
642,2002-08-06
643,2002-08-07
644,2002-08-08
645,2002-08-09
646,2002-08-12
647,2002-08-13
648,2002-08-14
649,2002-08-15
650,2002-08-16
651,2002-08-19
652,2002-08-20
653,2002-08-21
654,2002-08-22
655,2002-08-23
656,2002-08-26
657,2002-08-27
658,2002-08-28
659,2002-08-29
660,2002-08-30
661,2002-09-02
662,2002-09-03
663,2002-09-04
664,2002-09-05
665,2002-09-06
666,2002-09-09
667,2002-09-10
668,2002-09-11
669,2002-09-12
670,2002-09-13
671,2002-09-16
672,2002-09-17
673,2002-09-18
674,2002-09-19
675,2002-09-20
676,2002-09-23
677,2002-09-24
678,2002-09-25
679,2002-09-26
680,2002-09-27
681,2002-09-30
682,2002-10-01
683,2002-10-02
684,2002-10-03
685,2002-10-04
686,2002-10-07
687,2002-10-08
688,2002-10-09
689,2002-10-10
690,2002-10-11
691,2002-10-14
692,2002-10-15
693,2002-10-16
694,2002-10-17
695,2002-10-18
696,2002-10-21
697,2002-10-22
698,2002-10-23
699,2002-10-24
700,2002-10-25
701,2002-10-28
702,2002-10-29
703,2002-10-30
704,2002-10-31
705,2002-11-01
706,2002-11-04
707,2002-11-05
708,2002-11-06
709,2002-11-07
710,2002-11-08
711,2002-11-11
712,2002-11-12
713,2002-11-13
714,2002-11-14
715,2002-11-18
716,2002-11-19
717,2002-11-20
718,2002-11-21
719,2002-11-22
720,2002-11-25
721,2002-11-26
722,2002-11-27
723,2002-11-28
724,2002-11-29
725,2002-12-02
726,2002-12-03
727,2002-12-04
728,2002-12-05
729,2002-12-06
730,2002-12-09
731,2002-12-10
732,2002-12-11
733,2002-12-12
734,2002-12-13
735,2002-12-16
736,2002-12-17
737,2002-12-18
738,2002-12-19
739,2002-12-20
740,2002-12-23
741,2002-12-26
742,2002-12-27
743,2002-12-30
744,2003-01-02
745,2003-01-03
746,2003-01-06
747,2003-01-07
748,2003-01-08
749,2003-01-09
750,2003-01-10
751,2003-01-13
752,2003-01-14
753,2003-01-15
754,2003-01-16
755,2003-01-17
756,2003-01-20
757,2003-01-21
758,2003-01-22
759,2003-01-23
760,2003-01-24
761,2003-01-27
762,2003-01-28
763,2003-01-29
764,2003-01-30
765,2003-01-31
766,2003-02-03
767,2003-02-04
768,2003-02-05
769,2003-02-06
770,2003-02-07
771,2003-02-10
772,2003-02-11
773,2003-02-12
774,2003-02-13
775,2003-02-14
776,2003-02-17
777,2003-02-18
778,2003-02-19
779,2003-02-20
780,2003-02-21
781,2003-02-24
782,2003-02-25
783,2003-02-26
784,2003-02-27
785,2003-02-28
786,2003-03-05
787,2003-03-06
788,2003-03-07
789,2003-03-10
790,2003-03-11
791,2003-03-12
792,2003-03-13
793,2003-03-14
794,2003-03-17
795,2003-03-18
796,2003-03-19
797,2003-03-20
798,2003-03-21
799,2003-03-24
800,2003-03-25
801,2003-03-26
802,2003-03-27
803,2003-03-28
804,2003-03-31
805,2003-04-01
806,2003-04-02
807,2003-04-03
808,2003-04-04
809,2003-04-07
810,2003-04-08
811,2003-04-09
812,2003-04-10
813,2003-04-11
814,2003-04-14
815,2003-04-15
816,2003-04-16
817,2003-04-17
818,2003-04-22
819,2003-04-23
820,2003-04-24
821,2003-04-25
822,2003-04-28
823,2003-04-29
824,2003-04-30
825,2003-05-02
826,2003-05-05
827,2003-05-06
828,2003-05-07
829,2003-05-08
830,2003-05-09
831,2003-05-12
832,2003-05-13
833,2003-05-14
834,2003-05-15
835,2003-05-16
836,2003-05-19
837,2003-05-20
838,2003-05-21
839,2003-05-22
840,2003-05-23
841,2003-05-26
842,2003-05-27
843,2003-05-28
844,2003-05-29
845,2003-05-30
846,2003-06-02
847,2003-06-03
848,2003-06-04
849,2003-06-05
850,2003-06-06
851,2003-06-09
852,2003-06-10
853,2003-06-11
854,2003-06-12
855,2003-06-13
856,2003-06-16
857,2003-06-17
858,2003-06-18
859,2003-06-20
860,2003-06-23
861,2003-06-24
862,2003-06-25
863,2003-06-26
864,2003-06-27
865,2003-06-30
866,2003-07-01
867,2003-07-02
868,2003-07-03
869,2003-07-04
870,2003-07-07
871,2003-07-08
872,2003-07-10
873,2003-07-11
874,2003-07-14
875,2003-07-15
876,2003-07-16
877,2003-07-17
878,2003-07-18
879,2003-07-21
880,2003-07-22
881,2003-07-23
882,2003-07-24
883,2003-07-25
884,2003-07-28
