id,codigo,nome_social,nome_resumido,cnpj,situacao_ativa,codigo_isin
49670,HETA,HERCULES SA FABRICA TALHERES,HERCULESBOA,92.749.225/0001-63,True,BRHETAACNOR2
49670,HETA,HERCULES SA FABRICA TALHERES,HERCULESBOA,92.749.225/0001-63,True,BRHETAACNPR9
49739,HGNN,FIBRASIL TEXTIL SA,FIBRASILBQ7,11.136.660/0001-10,False,BRHGNNACNPB4
49755,HGTX,CIA HERING EX HERING TEXTIL SA,CIAHERINGBQN,78.876.950/0001-71,True,BRHGTXACNOR9
49755,HGTX,CIA HERING EX HERING TEXTIL SA,CIAHERINGBQN,78.876.950/0001-71,True,BRHGTXACNPR6
49905,HOOT,HOTEIS OTHON SA,HOTEISOTHBUT,33.200.049/0001-47,True,BRHOOTACNPR9
50210,HYPE,HYPERA S A,HYPERMARCC3A,02.932.074/0001-91,True,BRHYPEACNOR0
50272,IBAN,IND BEBIDAS ANTARCTICA NORTE NORDESTE SA EX IND BEB ANTARCTICA NE SA,ANTARCTNOC50,15.182.652/0001-61,False,BRIBANACNOR9
50272,IBAN,IND BEBIDAS ANTARCTICA NORTE NORDESTE SA EX IND BEB ANTARCTICA NE SA,ANTARCTNOC50,15.182.652/0001-61,False,BRIBANACNPA2
50272,IBAN,IND BEBIDAS ANTARCTICA NORTE NORDESTE SA EX IND BEB ANTARCTICA NE SA,ANTARCTNOC50,15.182.652/0001-61,False,BRIBANACNPB0
50357,IBRC,INBRAC SA CONDUTORES ELETRICOS,INBRACC7D,61.081.972/0001-42,True,BRIBRCACNPR3
50467,ICPI,CIA CIMENTO PORTLAND ITAU,CIMITAUCAF,24.030.025/0001-04,True,BRICPIACNOR5
50467,ICPI,CIA CIMENTO PORTLAND ITAU,CIMITAUCAF,24.030.025/0001-04,True,BRICPIACNPR2
50555,PDTC,PADTEC HOLDING S A,PADTEC,02.365.069/0001-44,True,BRIDNTACNOR5
50570,IDVL,BCO INDUSVAL SA,INDUSVALCDA,61.024.352/0001-71,True,BRIDVLACNOR5
50570,IDVL,BCO INDUSVAL SA,INDUSVALCDA,61.024.352/0001-71,True,BRIDVLACNPR2
50601,IENG,INEPAR ENERGIA SA,IENERGIACE5,02.225.714/0001-23,True,BRIENGACNOR0
50601,IENG,INEPAR ENERGIA SA,IENERGIACE5,02.225.714/0001-23,True,BRIENGACNPA3
100801,IFCM,INFRACOMMERCE CXAAS S A,INFRACOMM,38.456.921/0001-36,True,BRIFCMACNOR8
50757,IGBR,IGB ELETRONICA SA,IGBSACIH,43.185.362/0001-07,True,BRIGBRACNOR7
50757,IGBR,IGB ELETRONICA SA,IGBSACIH,43.185.362/0001-07,True,BRIGBRACNPA0
50757,IGBR,IGB ELETRONICA SA,IGBSACIH,43.185.362/0001-07,True,BRIGBRACNPB8
50757,IGBR,IGB ELETRONICA SA,IGBSACIH,43.185.362/0001-07,True,BRIGBRACNPC6
50787,IGTA,IGUATEMI EMPRESA SHOPPING CENTERS SA,IGUATEMIECJB,51.218.147/0001-93,True,BRIGTAACNOR5
52409,IGTI,IGUATEMI S A,IGUATEMI SA,60.543.816/0001-93,True,BRIGTIACNOR8
52409,IGTI,IGUATEMI S A,IGUATEMI SA,60.543.816/0001-93,True,BRIGTIACNPR5
50793,IGUA,CIA IGUACU CAFE SOLUVEL,IGUACUCAFCJH,76.255.926/0001-90,True,BRIGUAACNOR3
50793,IGUA,CIA IGUACU CAFE SOLUVEL,IGUACUCAFCJH,76.255.926/0001-90,True,BRIGUAACNPA6
50793,IGUA,CIA IGUACU CAFE SOLUVEL,IGUACUCAFCJH,76.255.926/0001-90,True,BRIGUAACNPB4
50934,ILLS,CIRCULO SA EX IND LINHAS LEOPOLDO SCHMALZ SA,LINHCIRCUCNE,84.043.009/0001-70,True,BRILLSACNPR1
50937,ILMD,YARA BRASIL FERTILIZANTES SA,YARABRASICNH,92.660.604/0001-82,True,BRILMDACNOR4
50937,ILMD,YARA BRASIL FERTILIZANTES SA,YARABRASICNH,92.660.604/0001-82,True,BRILMDACNPR1
50984,IMBI,CIA DOCAS IMBITUBA,DOCIMBITUCOS,84.208.123/0001-02,True,BRIMBIACNOR4
50984,IMBI,CIA DOCAS IMBITUBA,DOCIMBITUCOS,84.208.123/0001-02,True,BRIMBIACNPR1
50992,IMCH,INTERNATIONAL MEAL COMPANY HOLDGINS SA,IMCHOLDINCP0,08.936.792/0001-12,True,BRIMCHACNOR4
51114,INEP,INEPAR SA IND CONSTRUCOES,INEPARCSE,76.627.504/0001-06,True,BRINEPACNOR1
51114,INEP,INEPAR SA IND CONSTRUCOES,INEPARCSE,76.627.504/0001-06,True,BRINEPACNPR8
51132,INFM,INEPAR FEM EQUIPAMENTOS MONTAGENS SA,INEPARFEMCSW,02.258.422/0001-97,True,BRINFMACNOR5
51132,INFM,INEPAR FEM EQUIPAMENTOS MONTAGENS SA,INEPARFEMCSW,02.258.422/0001-97,True,BRINFMACNPR2
51203,INTB,INTELBRAS SA IND TELECOMUNICACOES ELETRONICA BRASILEIRA,INTELBRAS,82.901.000/0001-27,True,BRINTBACNOR9
51464,IRBR,IRB BRASIL RESSEGUROS SA,IRBBRASILD24,33.376.989/0001-91,True,BRIRBRACNOR4
51509,IRON,ANGLO FERROUS BRAZIL SA,ANGLOBRAZD3D,09.295.979/0001-47,True,BRIRONACNOR6
65927,ISAE,ISA ENERGIA BRASIL S A,ISA ENERGIA,02.998.611/0001-04,True,BRISAEACNOR2
65927,ISAE,ISA ENERGIA BRASIL S A,ISA ENERGIA,02.998.611/0001-04,True,BRISAEACNPR9
51623,ITAU,ITAU UNIBANCO HOLDING SA,ITAUUNIBAD6J,60.872.504/0001-23,False,BRITAUACNOR6
51623,ITAU,ITAU UNIBANCO HOLDING SA,ITAUUNIBAD6J,60.872.504/0001-23,False,BRITAUACNPR3
51664,ITEC,ITAUTEC SA GRUPO ITAUTEC,ITAUTECD7O,54.526.082/0001-31,True,BRITECACNOR6
51664,ITEC,ITAUTEC SA GRUPO ITAUTEC,ITAUTECD7O,54.526.082/0001-31,True,BRITECACNPA9
51773,ITPS,BRAMPAC SA,BRAMPACDAP,61.149.084/0001-14,True,BRITPSACNPR5
51811,ITSA,ITAUSA SA,ITAUSADBR,61.532.644/0001-15,True,BRITSAACNOR0
